METERHEAD;R_MF_9A_6P;R_MF_6P_10;R_SA_9A_6P;R_SA_6P_10;R_SU_9A_6P;R_SU_6P_10;RATE_MISC;TIMEINEFFE;T_MF_9A_6P;T_MF_6P_10;T_SA_9A_6P;T_SA_6P_10;T_SU_9A_6P;T_SU_6P_10;TIME_MISC;CREDITCARD;PAY_PHONE;Geom;Geo Local Area;METERID
Pay Station;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;Yes;67805;"{""type"": ""Point"", ""coordinates"": [-123.0960643091409, 49.28306316974086]}";Strathcona;030332C
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;63830;"{""type"": ""Point"", ""coordinates"": [-123.1278937558354, 49.289634222834444]}";Downtown;081404
Twin;$6.00;$6.00;$6.00;$6.00;$6.00;$6.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;64521;"{""type"": ""Point"", ""coordinates"": [-123.12152787343322, 49.27612869173941]}";Downtown;150306
Twin;$3.00;$3.00;$3.00;$3.00;$3.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;60731;"{""type"": ""Point"", ""coordinates"": [-123.12195871309294, 49.27641931305382]}";Downtown;150404
Twin;$3.00;$3.00;$3.00;$3.00;$3.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;65500;"{""type"": ""Point"", ""coordinates"": [-123.1220880881216, 49.27649917062372]}";Downtown;150408
Twin;$3.00;$3.00;$3.00;$3.00;$3.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;64875;"{""type"": ""Point"", ""coordinates"": [-123.12237913410073, 49.276686682231826]}";Downtown;150412
Twin;$3.00;$3.00;$3.00;$3.00;$3.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;64849;"{""type"": ""Point"", ""coordinates"": [-123.12249367700356, 49.27676134683941]}";Downtown;150416
Twin;$3.00;$3.00;$3.00;$3.00;$3.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;64905;"{""type"": ""Point"", ""coordinates"": [-123.12249367700356, 49.27676134683941]}";Downtown;150418
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;64706;"{""type"": ""Point"", ""coordinates"": [-123.1226410587928, 49.27285210615116]}";Downtown;170127
Twin;$5.00;$3.00;$5.00;$3.00;$5.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;62094;"{""type"": ""Point"", ""coordinates"": [-123.12589925333026, 49.279117986818164]}";Downtown;150807
